bc,bcm,bcode,bname,hd,mbc,oc,sca,sc,st
,,ME,Mechanical Engineering,1418 . Sri Lakshmi Ammal Engineering College,82.00,93.25,,,
96.25,,CS,Computer Science And Engineering,4672 . Stella Mary's College Of Engineering,94.00,112.75,,,
187.25,186.50,ME,Mechanical Engineering,4960 . Mepco Schlenk Engineering College (AUT),181.50,189.25,130.00,162.00,95.75
,,CS,Computer Science And Engineering,4976 . Infant Jesus College Of Engineering,,89.50,,,
,,ME,Mechanical Engineering,1503 . Arulmigu Meenakshi Amman College Of Engineering,,87.50,,,
168.25,162.25,CE,Civil Engineering,1306 . Jeppiaar Engineering College,161.75,172.25,118.25,140.50,
193.50,193.00,EE,Electrical And Electronics Engineering,2615 . Government College Of Engineering - Salem (AUT),192.75,194.50,184.25,185.00,175.00
86.75,89.50,CS,Computer Science And Engineering,2705 . CSI College Of Engineering,101.75,103.25,,,
191.00,187.25,CE,Civil Engineering,1219 . Sri Venkateswara College Of Engineering (AUT),188.50,191.75,110.00,178.75,
90.50,,EC,Electronics And Comm. Engineering,4676 . Renganayagi Varatharaj College Of Engineering,84.75,134.25,,,
192.25,189.25,EC,Electronics And Comm. Engineering,1113 . R.M.K. Engineering College,189.25,193.50,153.50,172.75,175.50
108.25,,CE,Civil Engineering,1401 . Adhiparasakthi Engineering College,95.00,121.25,,93.25,
157.00,94.50,EC,Electronics And Comm. Engineering,2620 . Vivekanandha College Of Engineering For Women (AUT),147.00,170.75,,118.00,
188.25,185.00,EC,Electronics And Comm. Engineering,5986 . Velammal College Of Engineering And Technology,178.25,190.50,115.00,137.75,
,,ME,Mechanical Engineering,1218 . Sri Muthukumaran Institute Of Technology,,112.25,,,
,,EC,Electronics And Comm. Engineering,2747 . Shree Venkateshwara Hi-Tech Engineering College,,89.75,,,
91.25,,CS,Computer Science And Engineering,2302 . Sri Shanmugha College Of Engineering And Technology,85.50,137.25,,,
,,EE,Electrical And Electronics Engineering,2738 . Sasurie Academy Of Engineering,,94.75,,,
,,EC,Electronics And Comm. Engineering,1449 . Saraswathy College Of Engineering & Technology,,95.75,,,
86.75,97.25,ME,Mechanical Engineering,1510 . Priyadarshini Engineering College,88.00,102.25,,82.50,
,,EE,Electrical And Electronics Engineering,1242 . Sree Sastha College Of Engineering,,123.50,,,
93.50,116.00,ME,Mechanical Engineering,2347 . Avs College Of Technology,99.25,120.50,,,
,,ME,Mechanical Engineering,1221 . Jaya College Of Engineering And Technology,,91.75,,,
,,EC,Electronics And Comm. Engineering,2633 . Vidyaa Vikas College Of Engineering And Technology,,92.75,,,
166.75,159.50,CS,Computer Science And Engineering,2735 . Karpagam Institute Of Technology,135.75,175.75,,,
,,EE,Electrical And Electronics Engineering,5913 . R.V.S. College Of Engineering,,96.75,,,
,,EC,Electronics And Comm. Engineering,2769 . J C T College Of Engineering And Technology,,101.00,,,
,,ME,Mechanical Engineering,4966 . Pet Engineering College,,85.50,,,
110.75,109.00,ME,Mechanical Engineering,1331 . Aksheyaa College Of Engineering,113.75,142.00,,,
,,CS,Computer Science And Engineering,1521 . Shri Sapthagiri Institute Of Technology,,89.50,,,
,,EE,Electrical And Electronics Engineering,1212 . Rajiv Gandhi College Of Engineering,,80.00,,,
91.00,,EC,Electronics And Comm. Engineering,4675 . Universal College Of Engineering & Technology,90.50,111.75,,,
193.75,191.75,ME,Mechanical Engineering,1219 . Sri Venkateswara College Of Engineering (AUT),191.25,194.50,132.75,178.00,169.25
101.00,115.00,CS,Computer Science And Engineering,2642 . P.S.V.College Of Engineering And Technology,83.00,135.75,,81.50,
93.50,,CS,Computer Science And Engineering,5988 . Theni Kammavar Sangam College Of Technology,101.00,125.50,,92.25,
,,EC,Electronics And Comm. Engineering,1439 . S.R.I College Of Engineering And Technology,,164.50,,,
86.50,,ME,Mechanical Engineering,4984 . Marthandam College Of Engineering And Technology,,101.50,,,
,,CS,Computer Science And Engineering,1108 . Magna College Of Engineering,,137.50,,,
,,CS,Computer Science And Engineering,1525 . Podhigai College Of Engineering And Technology,,111.75,,,
85.00,,CS,Computer Science And Engineering,1322 . Dhanalakshmi Srinivasan College Of Engineering And Technology,85.25,89.00,,,
122.25,117.75,CS,Computer Science And Engineering,1106 . Jaya Engineering College,110.50,142.50,,107.50,
,,EC,Electronics And Comm. Engineering,1218 . Sri Muthukumaran Institute Of Technology,,105.25,,,
,,CS,Computer Science And Engineering,1430 . Maha Barathi Engineering College,,80.00,,,
97.75,,CE,Civil Engineering,2721 . Tamilnadu College Of Engineering,90.50,120.50,,106.50,
,,EE,Electrical And Electronics Engineering,2737 . Ranganathan Engineering College,,140.00,,,
,,EE,Electrical And Electronics Engineering,2356 . Arulmurugan College Of Engineering,,85.50,,,
92.75,,CS,Computer Science And Engineering,1501 . Adhiparasakthi College Of Engineering,88.75,122.25,,114.75,
,,CS,Computer Science And Engineering,2770 . Kalaivani College Of Technology,,80.50,,,
,,EE,Electrical And Electronics Engineering,1513 . Sri Balaji Chockalingam Engineering College,,110.25,,,
,,EC,Electronics And Comm. Engineering,1212 . Rajiv Gandhi College Of Engineering,,111.50,,,
102.00,117.00,CE,Civil Engineering,2622 . V.S.B. Engineering College,99.75,145.75,,,
,89.00,ME,Mechanical Engineering,2349 . Dhaanish Ahmed Institute Of Technology,,104.75,,,
,,EC,Electronics And Comm. Engineering,4945 . Vins Christian Women's College Of Engineering,,85.75,,,
196.50,193.75,CS,Computer Science And Engineering,2007 . Coimbatore Institute Of Technology (Aut),194.75,196.75,182.50,186.00,166.25
,,CS,Computer Science And Engineering,2368 . Vishnu Lakshmi College Of Engineering And Technology,,129.75,,,
98.75,,CH,Chemical Engineering,1503 . Arulmigu Meenakshi Amman College Of Engineering,145.00,172.50,,,
97.25,156.00,ME,Mechanical Engineering,1101 . Aalim Muhammed Salegh College Of Engineering,83.50,158.75,,106.00,
96.75,138.50,EC,Electronics And Comm. Engineering,4991 . Kalasalingam Institute Of Technology,89.75,143.25,,,
198.50,197.75,EC,Electronics And Comm. Engineering,2006 . P.S.G. College Of Technology (Aut),196.75,198.75,194.00,195.00,191.50
,,CE,Civil Engineering,2715 . Nandha Engineering College (AUT),,95.00,,,
171.75,154.75,EC,Electronics And Comm. Engineering,1118 . Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College,156.00,175.75,,119.00,
108.50,136.00,ME,Mechanical Engineering,4680 . AAA College Of Engineering And Technology,90.75,139.50,,,
169.50,169.00,EE,Electrical And Electronics Engineering,1422 . Valliammai Engineering College,164.00,174.50,,125.25,
,,EE,Electrical And Electronics Engineering,4931 . Chandy College Of Engineering,,88.00,,,
,,ME,Mechanical Engineering,4964 . PSN College Of Engineering And Technology (AUT),,85.25,,,
,,CE,Civil Engineering,2614 . S.S.M. College Of Engineering,,87.75,,,
,,EC,Electronics And Comm. Engineering,5851 . Veerammal Engineering College,,123.00,,,
,,CS,Computer Science And Engineering,2758 . J K K Munirajah College Of Technology,,98.25,,,
184.00,181.00,CS,Computer Science And Engineering,1211 . Rajalakshmi Engineering College,177.75,187.50,80.00,149.00,
,,EE,Electrical And Electronics Engineering,2614 . S.S.M. College Of Engineering,,91.75,,,
195.50,193.75,ME,Mechanical Engineering,1315 . Sri Sivasubramaniya Nadar College Of Engineering,193.75,196.25,175.75,187.00,160.75
,,CE,Civil Engineering,2666 . The Kavery College Of Engineering,,87.25,,,
135.50,128.50,CS,Computer Science And Engineering,1110 . Prathyusha Engineering College,124.75,151.00,,91.50,
100.25,112.25,CS,Computer Science And Engineering,4961 . National College Of Engineering,,115.00,,,
90.50,,ME,Mechanical Engineering,2639 . Narasu's Sarathy Institute Of Technology,89.50,94.75,,,
121.00,95.00,CE,Civil Engineering,1509 . Meenakshi College Of Engineering,110.25,142.25,,89.25,
151.00,100.50,EC,Electronics And Comm. Engineering,2727 . Sri Shakthi Institute Of Engineering And Technology,118.00,171.00,,110.75,
,,CS,Computer Science And Engineering,2721 . Tamilnadu College Of Engineering,,93.25,,,
176.00,169.00,ME,Mechanical Engineering,1149 . ST.Joseph's Institute Of Technology,169.00,180.00,132.00,144.50,
115.25,113.25,TX,Textile Technology,2716 . Park College Of Engineering And Technology,102.50,129.00,,,
,,EE,Electrical And Electronics Engineering,2743 . Dhanalakshmi Srinivasan College Of Engineering,,105.75,,,
,,CE,Civil Engineering,1510 . Priyadarshini Engineering College,,81.00,,,
138.25,136.50,CS,Computer Science And Engineering,4917 . Sethu Institute Of Technology (AUT),84.25,150.00,,111.00,
,,CS,Computer Science And Engineering,2738 . Sasurie Academy Of Engineering,,82.50,,,
,,EC,Electronics And Comm. Engineering,2663 . S R S College Of Engineering And Technology,,104.25,,,
113.50,,EC,Electronics And Comm. Engineering,1401 . Adhiparasakthi Engineering College,135.25,162.75,,85.50,
94.50,131.50,CS,Computer Science And Engineering,4957 . Jayaraj Annapackiam CSI College Of Engineering,104.00,120.75,,,
141.50,156.25,CH,Chemical Engineering,2601 . Adhiyamaan College Of Engineering (AUT),125.50,163.50,119.75,103.75,
,,ME,Mechanical Engineering,2664 . Excel College Of Engineering And Technology,,79.50,,,
101.00,,EE,Electrical And Electronics Engineering,2345 . Dhirajlal Gandhi College Of Technology,126.25,157.25,,105.75,
,,CS,Computer Science And Engineering,1333 . Vi Institute Of Technology,,80.50,,,
,,ME,Mechanical Engineering,2337 . Vidhya Mandhir Institute Of Technology,,90.25,,,
,,ME,Mechanical Engineering,2314 . Muthayammal College Of Engineering,,97.75,,,
,,CE,Civil Engineering,2340 . Sri Venkateshwara Institute Of Engineering,,94.00,,,
,,EE,Electrical And Electronics Engineering,4975 . Dr.G.U.Pope College Of Engineering,,102.25,,,
,,EE,Electrical And Electronics Engineering,2314 . Muthayammal College Of Engineering,,92.00,,,
87.75,,CE,Civil Engineering,2628 . Paavai College Of Engineering,78.75,94.00,,,
185.00,164.00,CS,Computer Science And Engineering,2706 . DR.Mahalingam College Of Engineering & Technology (AUT),175.50,187.00,122.50,99.00,
103.25,126.25,EC,Electronics And Comm. Engineering,2634 . Excel Engineering College,95.25,143.50,,,
87.25,,CE,Civil Engineering,4670 . Rohini College Of Engineering And Technology,80.75,95.00,,,
86.25,108.25,CE,Civil Engineering,4965 . P.S.R Engineering College (AUT),96.75,115.00,,,
,,EE,Electrical And Electronics Engineering,1510 . Priyadarshini Engineering College,,84.50,,,
,,CS,Computer Science And Engineering,4931 . Chandy College Of Engineering,,83.75,,,
,,EC,Electronics And Comm. Engineering,2346 . Shree Sathyam College Of Engineering And Technology,,98.50,,,
160.00,154.75,TX,Textile Technology,2702 . Bannari Amman Institute Of Technology (AUT),151.25,171.25,90.00,110.00,
,,EE,Electrical And Electronics Engineering,1447 . Jawahar Engineering College,,81.50,,,
187.00,180.25,EE,Electrical And Electronics Engineering,1304 . Easwari Engineering College,179.50,189.00,115.75,152.75,90.00
90.50,,ME,Mechanical Engineering,2609 . Mahendra Engineering College,85.50,133.75,,78.00,
88.00,,CS,Computer Science And Engineering,2314 . Muthayammal College Of Engineering,87.75,119.00,,,
,,CE,Civil Engineering,2752 . Nandha College Of Technology,,78.50,,,
,,CE,Civil Engineering,1407 . G.K.M. College Of Engineering And Technology,,85.00,,,
111.25,99.25,ME,Mechanical Engineering,2613 . K.S.R. College Of Engineering (AUT),81.25,143.00,96.00,93.00,
122.00,110.75,CS,Computer Science And Engineering,1520 . Kingston Engineering College,118.75,154.75,97.00,90.00,
192.25,180.25,EC,Electronics And Comm. Engineering,2711 . Kongu Engineering College,187.50,193.00,158.25,159.50,132.25
114.75,91.00,CE,Civil Engineering,2656 . Erode Builder Educational Trust's Group Of Institutions,102.50,156.25,,,
114.25,,EC,Electronics And Comm. Engineering,2765 . Sriguru Institute Of Technology,153.25,168.75,,,
,,ME,Mechanical Engineering,4999 . Annai Vailankanni College Of Engineering,,92.25,,,
,,CE,Civil Engineering,2744 . Adithya Institute Of Technology,79.25,106.50,85.25,,
185.50,166.75,CS,Computer Science And Engineering,1128 . R.M.K. College Of Engineering And Technology,176.50,186.75,122.00,151.25,
,,CE,Civil Engineering,4999 . Annai Vailankanni College Of Engineering,,93.50,,,
177.50,167.25,EE,Electrical And Electronics Engineering,1306 . Jeppiaar Engineering College,173.50,181.75,150.75,135.00,118.75
,,ME,Mechanical Engineering,2767 . SRG Engineering College,,111.25,,,
,,EE,Electrical And Electronics Engineering,1319 . Thangavelu Engineering College,,118.00,,,
182.25,179.00,ME,Mechanical Engineering,1128 . R.M.K. College Of Engineering And Technology,174.50,184.75,118.75,153.75,139.25
,,CE,Civil Engineering,1218 . Sri Muthukumaran Institute Of Technology,,96.25,,,
95.75,89.25,CE,Civil Engineering,1307 . Jerusalem College Of Engineering,91.50,123.75,,88.00,
,,EC,Electronics And Comm. Engineering,5532 . Vaigai College Of Engineering,,156.75,,,
88.25,86.00,EC,Electronics And Comm. Engineering,2651 . Jay Shriram Group Of Institutions,87.00,112.00,,111.00,
115.00,90.00,EE,Electrical And Electronics Engineering,1238 . Grt Institute Of Engineering And Technology,104.00,126.25,,,
93.25,,EE,Electrical And Electronics Engineering,1452 . Peri Institute Of Technology,,110.50,,104.00,
,,CE,Civil Engineering,2751 . KGISL Institute Of Technology,,95.50,,,
101.00,,EE,Electrical And Electronics Engineering,2625 . The Kavery Engineering College,78.75,105.00,,,
91.50,,CE,Civil Engineering,1106 . Jaya Engineering College,,110.50,,,
112.00,131.75,EC,Electronics And Comm. Engineering,5865 . Nadar Saraswathi College Of Engineering & Technology,92.00,145.00,,,
90.00,,CS,Computer Science And Engineering,4991 . Kalasalingam Institute Of Technology,92.50,135.25,,108.00,
85.25,,ME,Mechanical Engineering,1127 . ST.Peter's College Of Engineering And Technology,80.50,105.25,,97.75,
172.00,165.50,ME,Mechanical Engineering,2710 . Karpagam College Of Engineering (AUT),160.75,176.50,113.50,122.00,141.50
,,CE,Civil Engineering,1121 . Sri Venkateswara Institute Of Science And Technology,,142.00,,,
,,CS,Computer Science And Engineering,5907 . Mohamed Sathak Engineering College,,87.50,,,
85.25,,EE,Electrical And Electronics Engineering,2601 . Adhiyamaan College Of Engineering (AUT),79.75,94.75,,90.00,
,85.00,ME,Mechanical Engineering,4977 . Narayanaguru College Of Engineering,,89.00,,,
,,CS,Computer Science And Engineering,2776 . RVS Technical Campus - Coimbatore,,91.75,,,
92.00,111.25,CE,Civil Engineering,5865 . Nadar Saraswathi College Of Engineering & Technology,96.75,117.50,,,
,,EE,Electrical And Electronics Engineering,4927 . Maria College Of Engineering And Technology,,103.50,,,
185.00,179.00,CS,Computer Science And Engineering,1306 . Jeppiaar Engineering College,182.25,187.25,,150.50,
,,ME,Mechanical Engineering,1217 . Sree Sastha Institute Of Engineering And Technology,,101.75,,,
189.50,187.75,CE,Civil Engineering,2615 . Government College Of Engineering - Salem (AUT),189.50,191.75,173.00,175.00,147.25
185.00,173.75,EE,Electrical And Electronics Engineering,1112 . R.M.D. Engineering College,179.00,186.75,102.50,155.50,120.75
115.25,,EE,Electrical And Electronics Engineering,2628 . Paavai College Of Engineering,97.25,123.75,,,
93.75,,CS,Computer Science And Engineering,4864 . Narayanaguru Siddhartha College Of Engineering,91.00,122.00,,118.25,
,,CE,Civil Engineering,1243 . Madha Institute Of Engineering And Technology,,130.50,,,
,,ME,Mechanical Engineering,1445 . Sri Rangapoopathi College Of Engineering,,88.00,,,
90.25,138.50,EE,Electrical And Electronics Engineering,1101 . Aalim Muhammed Salegh College Of Engineering,114.25,138.50,,,
107.50,124.50,EE,Electrical And Electronics Engineering,2727 . Sri Shakthi Institute Of Engineering And Technology,98.00,143.75,,138.25,
,,CE,Civil Engineering,1205 . Lord Venkateshwaraa Engineering College,,105.50,,,
,,ME,Mechanical Engineering,2769 . J C T College Of Engineering And Technology,,94.75,,,
163.25,159.50,EC,Electronics And Comm. Engineering,4959 . Kamaraj College Of Engineering And Technology,142.25,172.25,105.75,90.00,
,,EE,Electrical And Electronics Engineering,2762 . Jansons Institute Of Technology,,110.00,,,
162.50,161.00,ME,Mechanical Engineering,2725 . Sri Ramakrishna Institute Of Technology,149.25,170.00,87.50,95.75,
181.00,163.25,ME,Mechanical Engineering,1516 . Thanthai Periyar Govt Institute Of Technology,178.50,185.25,143.50,161.75,153.50
